District No.,District Name,AC No.,Name of Assembly Constituency,Male,Female,Third Gender,Total Electors,Total_Candidates,AC_Name_Match,AC_No,AC_Name,Male_Electors,Female_Electors,TG_Electors,Total_Electors,Overseas_Electors,Service_Electors,Male_Voted,Female_Voted,TG_Voted,Postal_Voted,Test_Votes,Total_Voted,Overseas_Voted,Poll_Pct,Rejected_Postal,Rejected_EVM,NOTA_Votes,Valid_Votes,Tendered_Votes,Female_Turnout_Pct,Male_Turnout_Pct,Gender_Gap
2,Chennai,12,Perambur,107995.0,114726.0,71.0,222792.0,,PERAMBUR,12,PERAMBUR,109732.0,116540.0,73.0,226345.0,7.0,49.0,98471.0,104560.0,41.0,1547.0,0.0,204619.0,0.0,90.4,235.0,0.0,601.0,203783.0,9.0,91.13888743615222,91.18107319783324,-0.04
2,Chennai,13,Kolathur,99607.0,107607.0,37.0,207251.0,,KOLATHUR,13,KOLATHUR,101844.0,109953.0,36.0,211833.0,44.0,61.0,88089.0,94284.0,20.0,1891.0,0.0,184284.0,1.0,86.99,233.0,0.0,892.0,183159.0,11.0,87.61883520588809,88.43655566375857,-0.82
2,Chennai,14,Villivakkam,76947.0,82785.0,32.0,159764.0,,VILLIVAKKAM,14,VILLIVAKKAM,78710.0,84673.0,33.0,163416.0,59.0,44.0,68004.0,72498.0,17.0,1131.0,0.0,141650.0,0.0,86.68,198.0,0.0,695.0,140757.0,11.0,87.57383583982606,88.37771453078092,-0.8
2,Chennai,15,Thiru-Vi-Ka-Nagar,85724.0,93008.0,61.0,178793.0,,THIRU-VI-KA-NAGAR,15,THIRU-VI-KA-NAGAR (SC),87116.0,94479.0,63.0,181658.0,15.0,37.0,69165.0,73655.0,43.0,1077.0,0.0,143940.0,0.0,79.24,37.0,0.0,527.0,143376.0,11.0,79.19211250645105,80.68335588633288,-1.49
2,Chennai,16,Egmore,65677.0,69149.0,53.0,134879.0,,EGMORE,16,EGMORE (SC),67560.0,71179.0,57.0,138796.0,40.0,21.0,58050.0,60635.0,41.0,1189.0,0.0,119915.0,0.0,86.4,177.0,0.0,695.0,119043.0,11.0,87.68745751926998,88.38710659743899,-0.7
2,Chennai,17,Royapuram,75870.0,81004.0,57.0,156931.0,,ROYAPURAM,17,ROYAPURAM,77226.0,82388.0,58.0,159672.0,3.0,18.0,61297.0,65022.0,26.0,1075.0,0.0,127420.0,0.0,79.8,64.0,0.0,459.0,126897.0,0.0,80.27011011801886,80.79214445762489,-0.52
2,Chennai,18,Harbour,58221.0,58620.0,55.0,116896.0,,HARBOUR,18,HARBOUR,59785.0,60300.0,57.0,120142.0,22.0,16.0,49986.0,49269.0,28.0,351.0,0.0,99634.0,0.0,82.93,12.0,0.0,600.0,99022.0,0.0,84.04810644831116,85.85561910650796,-1.81
2,Chennai,19,Chepauk-Thiruvallikeni,79412.0,84396.0,58.0,163866.0,,CHEPAUK-THIRUVALLIKENI,19,CHEPAUK-THIRUVALLIKENI,80462.0,85529.0,59.0,166050.0,71.0,27.0,68057.0,71820.0,46.0,911.0,0.0,140834.0,0.0,84.81,93.0,0.0,643.0,140098.0,3.0,85.09881984928195,85.70115347806377,-0.6
2,Chennai,20,Thousand Lights,73500.0,80343.0,65.0,153908.0,,THOUSAND LIGHTS,20,THOUSAND LIGHTS,75257.0,82225.0,69.0,157551.0,65.0,22.0,62461.0,67860.0,46.0,1538.0,0.0,131905.0,0.0,83.72,81.0,0.0,815.0,131009.0,13.0,84.46286546432172,84.98095238095237,-0.52
2,Chennai,21,Anna Nagar,87325.0,94029.0,48.0,181402.0,,ANNA NAGAR,21,ANNA NAGAR,90874.0,97986.0,48.0,188908.0,48.0,47.0,77925.0,83812.0,25.0,1670.0,0.0,163432.0,0.0,86.51,93.0,0.0,963.0,162376.0,11.0,89.13420327771219,89.23561408531349,-0.1
2,Chennai,22,Virugambakkam,95025.0,101461.0,50.0,196536.0,,VIRUGAMPAKKAM,22,VIRUGAMPAKKAM,97011.0,103564.0,52.0,200627.0,71.0,49.0,82892.0,88586.0,29.0,1381.0,0.0,172888.0,0.0,86.17,57.0,0.0,1030.0,171801.0,10.0,87.31039512719173,87.23178111023415,0.08
2,Chennai,23,Saidapet,96950.0,103685.0,62.0,200697.0,,SAIDAPET,23,SAIDAPET,98561.0,105554.0,62.0,204177.0,23.0,31.0,77180.0,81725.0,30.0,1561.0,0.0,160496.0,1.0,78.61,95.0,0.0,924.0,159477.0,6.0,78.82046583401649,79.60804538421867,-0.79
2,Chennai,24,Thiyagarayanagar,74682.0,80228.0,33.0,154943.0,,THIYAGARAYANAGAR,24,THIYAGARAYANAGAR,76541.0,82216.0,34.0,158791.0,71.0,34.0,64192.0,68428.0,19.0,1508.0,0.0,134147.0,1.0,84.48,219.0,0.0,878.0,133050.0,5.0,85.29191803360423,85.95377734929434,-0.66
2,Chennai,25,Mylapore,93017.0,101691.0,23.0,194731.0,,MYLAPORE,25,MYLAPORE,95298.0,104174.0,24.0,199496.0,80.0,31.0,71857.0,77412.0,8.0,1523.0,0.0,150800.0,0.0,75.59,206.0,0.0,770.0,149824.0,0.0,76.12473080213589,77.25147016136835,-1.13
2,Chennai,26,Velachery,102235.0,109411.0,45.0,211691.0,,VELACHERY,26,VELACHERY,104934.0,112227.0,47.0,217208.0,58.0,37.0,88896.0,94291.0,20.0,1835.0,0.0,185042.0,0.0,85.19,227.0,0.0,1336.0,183479.0,14.0,86.1805485737266,86.95260918472148,-0.77
3,Kancheepuram,28,Alandur,143839.0,152173.0,40.0,296052.0,,ALANDUR,28,ALANDUR,146303.0,154782.0,42.0,301127.0,18.0,72.0,126666.0,132584.0,21.0,2395.0,0.0,261666.0,0.0,86.9,96.0,0.0,1263.0,260307.0,15.0,87.12715133433657,88.06095704224863,-0.93
3,Kancheepuram,29,Sriperumbudur,181852.0,194007.0,62.0,375921.0,,SRIPERUMBUDUR,29,SRIPERUMBUDUR (SC),184620.0,197124.0,63.0,381807.0,10.0,57.0,160464.0,168186.0,25.0,2480.0,0.0,331155.0,0.0,86.73,67.0,0.0,1161.0,329927.0,16.0,86.69068641853129,88.2387875855091,-1.55
3,Kancheepuram,36,Uthiramerur,118564.0,125300.0,58.0,243922.0,,UTHIRAMERUR,36,UTHIRAMERUR,119629.0,126557.0,62.0,246248.0,1.0,71.0,110350.0,113855.0,38.0,3976.0,0.0,228219.0,0.0,92.68,454.0,0.0,1114.0,226651.0,0.0,90.8659217877095,93.0720960831281,-2.21
3,Kancheepuram,37,Kancheepuram,133825.0,142437.0,37.0,276299.0,,KANCHEEPURAM,37,KANCHEEPURAM,134971.0,143833.0,37.0,278841.0,2.0,66.0,119443.0,123293.0,25.0,4125.0,0.0,246886.0,0.0,88.54,569.0,0.0,1078.0,245239.0,7.0,86.55967199533829,89.25312908649356,-2.69
4,Vellore,40,Katpadi,108863.0,116914.0,32.0,225809.0,,KATPADI,40,KATPADI,111580.0,118535.0,33.0,230148.0,17.0,1412.0,96887.0,104591.0,27.0,2850.0,0.0,204355.0,0.0,88.79,858.0,0.0,745.0,202752.0,0.0,89.45977385086474,88.99901711325244,0.46
4,Vellore,43,Vellore,101554.0,109460.0,49.0,211063.0,,VELLORE,43,VELLORE,103632.0,111267.0,47.0,214946.0,2.0,442.0,90855.0,97882.0,40.0,1796.0,0.0,190573.0,0.0,88.66,46.0,0.0,757.0,189770.0,0.0,89.42262013520921,89.4647182779605,-0.04
4,Vellore,44,Anaikattu,113833.0,120863.0,42.0,234738.0,,ANAIKATTU,44,ANAIKATTU,117577.0,123020.0,43.0,240640.0,1.0,1925.0,102934.0,111093.0,12.0,3046.0,0.0,217085.0,0.0,90.21,767.0,0.0,1103.0,215215.0,1.0,91.91646740524396,90.42544780511804,1.49
4,Vellore,45,Kilvaithinankuppam,104458.0,108985.0,8.0,213451.0,,KILVAITHINANKUPPAM,45,KILVAITHINANKUPPAM (SC),107004.0,110009.0,8.0,217021.0,0.0,1717.0,91317.0,96519.0,7.0,2536.0,0.0,190379.0,0.0,87.72,487.0,0.0,972.0,188920.0,0.0,88.56172867825848,87.41982423557793,1.14
4,Vellore,46,Gudiyattam,120946.0,127547.0,33.0,248526.0,,GUDIYATTAM,46,GUDIYATTAM (SC),122808.0,129222.0,34.0,252064.0,5.0,476.0,110788.0,116891.0,24.0,1549.0,0.0,229252.0,0.0,90.95,176.0,0.0,799.0,228277.0,0.0,91.64543266403756,91.60121045755956,0.04
5,Krishnagiri,51,Uthangarai,116918.0,116541.0,41.0,233500.0,,UTHANGARAI,51,UTHANGARAI (SC),118275.0,117609.0,41.0,235925.0,0.0,474.0,101261.0,101289.0,8.0,3187.0,0.0,205745.0,0.0,87.21,215.0,0.0,881.0,204649.0,1.0,86.91276031611193,86.6085632665629,0.3
5,Krishnagiri,52,Bargur,117135.0,120197.0,17.0,237349.0,,BARGUR,52,BARGUR,119224.0,121235.0,17.0,240476.0,0.0,1158.0,103171.0,107287.0,9.0,3662.0,0.0,214129.0,0.0,89.04,169.0,0.0,631.0,213329.0,0.0,89.25929931695467,88.0787125965766,1.18
5,Krishnagiri,53,Krishnagiri,129777.0,135200.0,60.0,265037.0,,KRISHNAGIRI,53,KRISHNAGIRI,132866.0,136467.0,61.0,269394.0,0.0,2028.0,111260.0,115393.0,42.0,4328.0,0.0,231023.0,0.0,85.76,842.0,0.0,1136.0,229045.0,2.0,85.34985207100591,85.73167818642749,-0.38
5,Krishnagiri,54,Veppanahalli,123389.0,120449.0,37.0,243875.0,,VEPPANAHALLI,54,VEPPANAHALLI,125068.0,121633.0,38.0,246739.0,0.0,646.0,112032.0,108986.0,20.0,1754.0,0.0,222792.0,0.0,90.29,184.0,0.0,1570.0,221038.0,0.0,90.48310903369892,90.79577596057996,-0.31
5,Krishnagiri,55,Hosur,169099.0,169124.0,72.0,338295.0,,HOSUR,55,HOSUR,171306.0,171662.0,72.0,343040.0,0.0,51.0,137844.0,137688.0,29.0,2367.0,0.0,277928.0,0.0,81.02,158.0,0.0,1614.0,276156.0,7.0,81.41245476691658,81.51674462888603,-0.1
5,Krishnagiri,56,Thalli,120000.0,115947.0,37.0,235984.0,,THALLI,56,THALLI,120911.0,117013.0,37.0,237961.0,0.0,37.0,105115.0,99156.0,17.0,1680.0,0.0,205968.0,0.0,86.56,90.0,0.0,1550.0,204328.0,10.0,85.51838339931176,87.59583333333333,-2.08
6,Dharmapuri,57,Palacodu,119611.0,117845.0,20.0,237476.0,,PALACODU,57,PALACODU,121408.0,119432.0,21.0,240861.0,1.0,539.0,111960.0,110493.0,17.0,3026.0,0.0,225496.0,0.0,93.62,239.0,0.0,1292.0,223965.0,6.0,93.76129661843947,93.60343112255562,0.16
6,Dharmapuri,58,Pennagaram,126763.0,119521.0,9.0,246293.0,,PENNAGARAM,58,PENNAGARAM,128018.0,120805.0,9.0,248832.0,0.0,218.0,115196.0,110199.0,6.0,3506.0,0.0,228907.0,0.0,91.99,241.0,0.0,674.0,227992.0,0.0,92.200533797408,90.87509762312348,1.33
6,Dharmapuri,59,Dharmapuri,129393.0,128464.0,82.0,257939.0,,DHARMAPURI,59,DHARMAPURI,130887.0,130008.0,84.0,260979.0,5.0,228.0,116631.0,116510.0,64.0,5537.0,0.0,238742.0,0.0,91.48,163.0,0.0,941.0,237638.0,9.0,90.69466932370158,90.13702441399458,0.56
6,Dharmapuri,60,Pappireddipatti,127427.0,127217.0,14.0,254658.0,,PAPPIREDDIPATTI,60,PAPPIREDDIPATTI,128665.0,128337.0,14.0,257016.0,5.0,376.0,115239.0,116602.0,10.0,5313.0,0.0,237164.0,0.0,92.28,543.0,0.0,677.0,235944.0,0.0,91.65598937248951,90.43530805873166,1.22
6,Dharmapuri,61,Harur,121453.0,122264.0,25.0,243742.0,,HARUR,61,HARUR (SC),122608.0,123339.0,24.0,245971.0,3.0,279.0,106883.0,108403.0,20.0,4997.0,0.0,220303.0,0.0,89.56,261.0,0.0,782.0,219260.0,5.0,88.66305699142839,88.00358986603871,0.66
7,Tiruvannamalai,62,Chengam,132571.0,134045.0,13.0,266629.0,,CHENGAM,62,CHENGAM (SC),134094.0,135316.0,13.0,269423.0,5.0,426.0,119078.0,121404.0,8.0,3213.0,0.0,243703.0,0.0,90.45,806.0,0.0,1114.0,241783.0,0.0,90.56958484091165,89.8220576144104,0.75
7,Tiruvannamalai,63,Tiruvannamalai,119784.0,127477.0,48.0,247309.0,,TIRUVANNAMALAI,63,TIRUVANNAMALAI,121132.0,128846.0,48.0,250026.0,16.0,177.0,105300.0,112475.0,37.0,2267.0,0.0,220079.0,0.0,88.02,13.0,0.0,785.0,219281.0,0.0,88.23160256359971,87.90823482268083,0.32
7,Tiruvannamalai,64,Kilpennathur,117840.0,121058.0,15.0,238913.0,,KILPENNATHUR,64,KILPENNATHUR,119081.0,122113.0,15.0,241209.0,3.0,386.0,106836.0,110497.0,10.0,2712.0,0.0,220055.0,0.0,91.23,265.0,0.0,440.0,219350.0,0.0,91.27608253894827,90.66191446028512,0.61
7,Tiruvannamalai,65,Kalasapakkam,114155.0,116592.0,19.0,230766.0,,KALASAPAKKAM,65,KALASAPAKKAM,115844.0,117733.0,18.0,233595.0,4.0,748.0,104334.0,107186.0,8.0,2665.0,0.0,214193.0,0.0,91.69,66.0,0.0,423.0,213704.0,0.0,91.93255111843008,91.39678507292716,0.54
7,Tiruvannamalai,66,Polur,114221.0,118196.0,9.0,232426.0,,POLUR,66,POLUR,116131.0,118949.0,11.0,235091.0,3.0,1317.0,101876.0,107090.0,9.0,3272.0,0.0,212247.0,0.0,90.28,504.0,0.0,798.0,210945.0,0.0,90.60374293546312,89.19200497281585,1.41
7,Tiruvannamalai,67,Arani,123335.0,129650.0,37.0,253022.0,,ARANI,67,ARANI,125648.0,130788.0,38.0,256474.0,7.0,1511.0,110706.0,116763.0,26.0,3644.0,0.0,231139.0,0.0,90.12,977.0,0.0,707.0,229455.0,0.0,90.06016197454686,89.76040864312644,0.3
7,Tiruvannamalai,68,Cheyyar,117159.0,121115.0,9.0,238283.0,,CHEYYAR,68,CHEYYAR,118003.0,121996.0,9.0,240008.0,1.0,152.0,108908.0,111701.0,9.0,2315.0,0.0,222933.0,0.0,92.89,363.0,0.0,950.0,221620.0,0.0,92.22722206167693,92.9574339145947,-0.73
7,Tiruvannamalai,69,Vandavasi,104662.0,107144.0,5.0,211811.0,,VANDAVASI,69,VANDAVASI (SC),105468.0,108101.0,5.0,213574.0,1.0,100.0,93803.0,95451.0,1.0,2146.0,0.0,191401.0,0.0,89.62,197.0,0.0,988.0,190216.0,0.0,89.08664974240274,89.62469664252546,-0.54
8,Viluppuram,70,Gingee,119278.0,121651.0,28.0,240957.0,,GINGEE,70,GINGEE,120357.0,122606.0,29.0,242992.0,0.0,325.0,105778.0,108710.0,16.0,3137.0,0.0,217641.0,0.0,89.57,989.0,0.0,508.0,216144.0,0.0,89.36219184388126,88.68190278173678,0.68
8,Viluppuram,71,Mailam,103451.0,104195.0,19.0,207665.0,,MAILAM,71,MAILAM,104130.0,104949.0,19.0,209098.0,0.0,82.0,93290.0,94065.0,10.0,2011.0,0.0,189376.0,0.0,90.57,155.0,0.0,299.0,188922.0,0.0,90.27784442631604,90.17795864708896,0.1
8,Viluppuram,72,Tindivanam,106762.0,110836.0,11.0,217609.0,,TINDIVANAM,72,TINDIVANAM (SC),107538.0,111751.0,11.0,219300.0,3.0,44.0,94946.0,99169.0,6.0,2239.0,0.0,196360.0,0.0,89.54,334.0,0.0,714.0,195312.0,1.0,89.47363672452994,88.93239167494052,0.54
8,Viluppuram,73,Vanur,101938.0,106030.0,16.0,207984.0,,VANUR,73,VANUR (SC),102776.0,107093.0,16.0,209885.0,0.0,61.0,92682.0,98312.0,9.0,1677.0,0.0,192680.0,0.0,91.8,561.0,0.0,519.0,191600.0,0.0,92.72092803923418,90.91997096274206,1.8
8,Viluppuram,74,Viluppuram,118786.0,125218.0,76.0,244080.0,,VILUPPURAM,74,VILUPPURAM,119713.0,126205.0,76.0,245994.0,6.0,95.0,103656.0,109383.0,58.0,2794.0,0.0,215891.0,0.0,87.76,469.0,0.0,573.0,214849.0,0.0,87.3540545289016,87.26280874850572,0.09
8,Viluppuram,75,Vikravandi,112050.0,115276.0,29.0,227355.0,,VIKRAVANDI,75,VIKRAVANDI,112953.0,116200.0,29.0,229182.0,1.0,187.0,101383.0,105641.0,19.0,2816.0,0.0,209859.0,0.0,91.57,628.0,0.0,401.0,208830.0,0.0,91.6417988132829,90.4801427933958,1.16
8,Viluppuram,76,Tirukkoyilur,121023.0,119948.0,32.0,241003.0,,TIRUKKOYILUR,76,TIRUKKOYILUR,122277.0,121092.0,35.0,243404.0,3.0,299.0,107209.0,107856.0,23.0,2674.0,0.0,217762.0,0.0,89.47,444.0,0.0,500.0,216818.0,2.0,89.9189648847834,88.5856407459739,1.33
9,Salem,81,Gangavalli,105720.0,111067.0,7.0,216794.0,,GANGAVALLI,81,GANGAVALLI (SC),106406.0,111962.0,7.0,218375.0,0.0,58.0,92470.0,101361.0,3.0,3047.0,0.0,196881.0,0.0,90.16,202.0,0.0,731.0,195948.0,3.0,91.26113066887554,87.46689368142263,3.79
9,Salem,82,Attur,109943.0,116517.0,21.0,226481.0,,ATTUR,82,ATTUR (SC),110787.0,117410.0,22.0,228219.0,0.0,66.0,98617.0,107127.0,20.0,2798.0,0.0,208562.0,1.0,91.39,266.0,0.0,1031.0,207265.0,3.0,91.94109014135276,89.69829820907198,2.24
9,Salem,83,Yercaud,132685.0,137827.0,17.0,270529.0,,YERCAUD,83,YERCAUD (ST),133812.0,139107.0,18.0,272937.0,2.0,108.0,122815.0,128189.0,14.0,2725.0,0.0,253743.0,0.0,92.97,151.0,0.0,1250.0,252342.0,2.0,93.00717566224324,92.56132946452124,0.45
9,Salem,84,Omalur,148764.0,143081.0,21.0,291866.0,,OMALUR,84,OMALUR,150257.0,144584.0,22.0,294863.0,0.0,270.0,136362.0,131446.0,18.0,3667.0,0.0,271493.0,0.0,92.07,374.0,0.0,1433.0,269686.0,5.0,91.86824246405882,91.66330563846093,0.2
9,Salem,85,Mettur,127853.0,125575.0,17.0,253445.0,,METTUR,85,METTUR,129034.0,126820.0,15.0,255869.0,0.0,204.0,114367.0,113712.0,11.0,3573.0,0.0,231663.0,0.0,90.54,558.0,0.0,794.0,230311.0,7.0,90.55305594266376,89.45194872236084,1.1
9,Salem,86,Edappadi,138709.0,135316.0,29.0,274054.0,,EDAPPADI,86,EDAPPADI,139764.0,136678.0,30.0,276472.0,1.0,85.0,128641.0,125835.0,24.0,3990.0,0.0,258490.0,0.0,93.5,227.0,0.0,1341.0,256922.0,4.0,92.99343758313871,92.74163897079498,0.25
9,Salem,87,Sankari,130573.0,128075.0,30.0,258678.0,,SANKARI,87,SANKARI,131472.0,129088.0,30.0,260590.0,0.0,65.0,121453.0,119620.0,24.0,2926.0,0.0,244023.0,0.0,93.64,244.0,0.0,711.0,243068.0,3.0,93.398399375366,93.0154013463733,0.38
9,Salem,88,Salem (West),127131.0,128125.0,64.0,255320.0,,SALEM (WEST),88,SALEM (WEST),128491.0,129485.0,64.0,258040.0,8.0,90.0,115674.0,116512.0,46.0,2557.0,0.0,234789.0,0.0,90.99,382.0,0.0,1052.0,233355.0,0.0,90.93619512195122,90.9880359629044,-0.05
9,Salem,89,Salem (North),114816.0,121224.0,48.0,236088.0,,SALEM (NORTH),89,SALEM (NORTH),116011.0,122624.0,50.0,238685.0,20.0,48.0,101851.0,106711.0,43.0,2272.0,0.0,210877.0,0.0,88.35,165.0,0.0,1205.0,209507.0,0.0,88.02794826107042,88.70801978818284,-0.68
9,Salem,90,Salem (South),109918.0,114130.0,49.0,224097.0,,SALEM (SOUTH),90,SALEM (SOUTH),111277.0,115554.0,49.0,226880.0,6.0,29.0,101139.0,105317.0,36.0,1625.0,0.0,208117.0,0.0,91.73,215.0,0.0,745.0,207157.0,3.0,92.27810391658636,92.0131370658127,0.26
9,Salem,91,Veerapandi,124850.0,123611.0,17.0,248478.0,,VEERAPANDI,91,VEERAPANDI,125773.0,124714.0,17.0,250504.0,7.0,55.0,117054.0,116770.0,15.0,2302.0,0.0,236141.0,0.0,94.27,266.0,0.0,594.0,235281.0,2.0,94.46570289051944,93.75570684821786,0.71
10,Namakkal,92,Rasipuram,107813.0,112728.0,13.0,220554.0,,RASIPURAM,92,RASIPURAM (SC),108636.0,113655.0,13.0,222304.0,2.0,52.0,97733.0,103582.0,11.0,3576.0,0.0,204902.0,0.0,92.17,222.0,0.0,863.0,203817.0,0.0,91.886665247321,90.65047814271006,1.24
10,Namakkal,93,Senthamangalam,111214.0,116087.0,26.0,227327.0,,SENTHAMANGALAM,93,SENTHAMANGALAM (ST),112168.0,117288.0,26.0,229482.0,4.0,84.0,99693.0,107074.0,15.0,3034.0,0.0,209816.0,0.0,91.43,129.0,0.0,1211.0,208476.0,1.0,92.2359954172302,89.64069271854262,2.6
10,Namakkal,94,Namakkal,113217.0,122093.0,41.0,235351.0,,NAMAKKAL,94,NAMAKKAL,114433.0,123443.0,39.0,237915.0,0.0,79.0,98123.0,110427.0,33.0,3812.0,0.0,212395.0,0.0,89.27,112.0,0.0,760.0,211523.0,0.0,90.44498865618831,86.66807988199652,3.78
10,Namakkal,95,Paramathi-Velur,97727.0,105830.0,10.0,203567.0,,PARAMATHI-VELUR,95,PARAMATHI-VELUR,98548.0,106657.0,10.0,205215.0,0.0,68.0,86672.0,98366.0,9.0,3972.0,0.0,189019.0,0.0,92.11,174.0,0.0,449.0,188396.0,0.0,92.94717943872249,88.6878754080244,4.26
10,Namakkal,96,Tiruchengodu,100412.0,106475.0,41.0,206928.0,,TIRUCHENGODU,96,TIRUCHENGODU,101443.0,107608.0,48.0,209099.0,4.0,27.0,90246.0,97998.0,30.0,2943.0,0.0,191217.0,0.0,91.45,95.0,0.0,520.0,190602.0,0.0,92.03850669171167,89.8757120662869,2.16
10,Namakkal,97,Kumarapalayam,104916.0,112239.0,69.0,217224.0,,KUMARAPALAYAM,97,KUMARAPALAYAM,106211.0,113789.0,72.0,220072.0,2.0,24.0,98115.0,105603.0,60.0,1581.0,0.0,205359.0,0.0,93.31,35.0,0.0,665.0,204659.0,0.0,94.08761660385429,93.51767127988104,0.57
11,Erode,98,Erode (East),84202.0,91989.0,37.0,176228.0,,ERODE (EAST),98,ERODE (EAST),85826.0,93728.0,38.0,179592.0,9.0,26.0,77358.0,83854.0,28.0,1333.0,0.0,162573.0,0.0,90.52,120.0,0.0,879.0,161574.0,0.0,91.15655132678909,91.87192703261204,-0.72
11,Erode,99,Erode (West),118206.0,127246.0,41.0,245493.0,,ERODE (WEST),99,ERODE (WEST),120471.0,129703.0,43.0,250217.0,4.0,40.0,105949.0,114135.0,33.0,2320.0,0.0,222437.0,0.0,88.9,255.0,782.0,1257.0,220143.0,3.0,89.69633623060842,89.6308140026733,0.07
11,Erode,100,Modakkurichi,98532.0,107577.0,13.0,206122.0,,MODAKKURICHI,100,MODAKKURICHI,99272.0,108413.0,12.0,207697.0,8.0,33.0,90155.0,97442.0,10.0,3298.0,0.0,190905.0,0.0,91.92,146.0,0.0,925.0,189834.0,2.0,90.5788412021157,91.49819348029068,-0.92
11,Erode,103,Perundurai,101851.0,110225.0,8.0,212084.0,,PERUNDURAI,103,PERUNDURAI,102869.0,111576.0,6.0,214451.0,5.0,20.0,95940.0,102332.0,4.0,2803.0,0.0,201079.0,0.0,93.76,393.0,0.0,812.0,199874.0,3.0,92.83919256067136,94.19642418827505,-1.36
