AC_No,AC_Name,Male_Electors,Female_Electors,TG_Electors,Total_Electors,Overseas_Electors,Service_Electors,Male_Voted,Female_Voted,TG_Voted,Postal_Voted,Test_Votes,Total_Voted,Overseas_Voted,Poll_Pct,Rejected_Postal,Rejected_EVM,NOTA_Votes,Valid_Votes,Tendered_Votes
17,ROYAPURAM,77226.0,82388.0,58.0,159672.0,3.0,18.0,61297.0,65022.0,26.0,1075.0,0.0,127420.0,0.0,79.8,64.0,0.0,459.0,126897.0,0.0
18,HARBOUR,59785.0,60300.0,57.0,120142.0,22.0,16.0,49986.0,49269.0,28.0,351.0,0.0,99634.0,0.0,82.93,12.0,0.0,600.0,99022.0,0.0
19,CHEPAUK-THIRUVALLIKENI,80462.0,85529.0,59.0,166050.0,71.0,27.0,68057.0,71820.0,46.0,911.0,0.0,140834.0,0.0,84.81,93.0,0.0,643.0,140098.0,3.0
20,THOUSAND LIGHTS,75257.0,82225.0,69.0,157551.0,65.0,22.0,62461.0,67860.0,46.0,1538.0,0.0,131905.0,0.0,83.72,81.0,0.0,815.0,131009.0,13.0
21,ANNA NAGAR,90874.0,97986.0,48.0,188908.0,48.0,47.0,77925.0,83812.0,25.0,1670.0,0.0,163432.0,0.0,86.51,93.0,0.0,963.0,162376.0,11.0
22,VIRUGAMPAKKAM,97011.0,103564.0,52.0,200627.0,71.0,49.0,82892.0,88586.0,29.0,1381.0,0.0,172888.0,0.0,86.17,57.0,0.0,1030.0,171801.0,10.0
23,SAIDAPET,98561.0,105554.0,62.0,204177.0,23.0,31.0,77180.0,81725.0,30.0,1561.0,0.0,160496.0,1.0,78.61,95.0,0.0,924.0,159477.0,6.0
24,THIYAGARAYANAGAR,76541.0,82216.0,34.0,158791.0,71.0,34.0,64192.0,68428.0,19.0,1508.0,0.0,134147.0,1.0,84.48,219.0,0.0,878.0,133050.0,5.0
25,MYLAPORE,95298.0,104174.0,24.0,199496.0,80.0,31.0,71857.0,77412.0,8.0,1523.0,0.0,150800.0,0.0,75.59,206.0,0.0,770.0,149824.0,0.0
26,VELACHERY,104934.0,112227.0,47.0,217208.0,58.0,37.0,88896.0,94291.0,20.0,1835.0,0.0,185042.0,0.0,85.19,227.0,0.0,1336.0,183479.0,14.0
27,SHOZHINGANALLUR,270734.0,283128.0,116.0,553978.0,66.0,73.0,218269.0,226974.0,49.0,2076.0,0.0,447368.0,0.0,80.76,73.0,0.0,2079.0,445216.0,0.0
28,ALANDUR,146303.0,154782.0,42.0,301127.0,18.0,72.0,126666.0,132584.0,21.0,2395.0,0.0,261666.0,0.0,86.9,96.0,0.0,1263.0,260307.0,15.0
29,SRIPERUMBUDUR (SC),184620.0,197124.0,63.0,381807.0,10.0,57.0,160464.0,168186.0,25.0,2480.0,0.0,331155.0,0.0,86.73,67.0,0.0,1161.0,329927.0,16.0
30,PALLAVARAM,164387.0,172613.0,24.0,337024.0,16.0,61.0,138276.0,143530.0,10.0,1952.0,0.0,283768.0,0.0,84.2,91.0,0.0,1602.0,282075.0,0.0
31,TAMBARAM,160542.0,169588.0,51.0,330181.0,58.0,121.0,135115.0,141856.0,26.0,2039.0,0.0,279036.0,0.0,84.51,227.0,0.0,1512.0,277297.0,0.0
32,CHENGALPATTU,181113.0,191719.0,57.0,372889.0,32.0,50.0,157809.0,164229.0,16.0,2039.0,0.0,324093.0,0.0,86.91,83.0,0.0,1395.0,322615.0,5.0
33,THIRUPORUR,143284.0,151114.0,54.0,294452.0,27.0,42.0,128166.0,132610.0,26.0,1831.0,0.0,262633.0,0.0,89.19,224.0,0.0,1248.0,261161.0,0.0
34,CHEYYUR (SC),100967.0,103062.0,20.0,204049.0,2.0,51.0,92344.0,93275.0,4.0,2403.0,0.0,188026.0,0.0,92.15,442.0,0.0,783.0,186801.0,0.0
35,MADURANTAKAM (SC),104522.0,108079.0,65.0,212666.0,3.0,27.0,96955.0,99289.0,45.0,2262.0,0.0,198551.0,0.0,93.36,300.0,0.0,797.0,197454.0,0.0
36,UTHIRAMERUR,119629.0,126557.0,62.0,246248.0,1.0,71.0,110350.0,113855.0,38.0,3976.0,0.0,228219.0,0.0,92.68,454.0,0.0,1114.0,226651.0,0.0
37,KANCHEEPURAM,134971.0,143833.0,37.0,278841.0,2.0,66.0,119443.0,123293.0,25.0,4125.0,0.0,246886.0,0.0,88.54,569.0,0.0,1078.0,245239.0,7.0
38,ARAKKONAM (SC),97891.0,103069.0,26.0,200986.0,4.0,213.0,88750.0,92250.0,23.0,1470.0,0.0,182493.0,0.0,90.8,153.0,0.0,899.0,181441.0,0.0
39,SHOLINGUR,127210.0,130854.0,12.0,258076.0,3.0,554.0,114605.0,117089.0,7.0,2268.0,0.0,233969.0,0.0,90.66,285.0,0.0,572.0,233112.0,0.0
40,KATPADI,111580.0,118535.0,33.0,230148.0,17.0,1412.0,96887.0,104591.0,27.0,2850.0,0.0,204355.0,0.0,88.79,858.0,0.0,745.0,202752.0,0.0
41,RANIPET,120877.0,128040.0,45.0,248962.0,5.0,718.0,106868.0,112808.0,33.0,1550.0,0.0,221259.0,0.0,88.87,221.0,0.0,1209.0,219829.0,0.0
42,ARCOT,121352.0,125406.0,28.0,246786.0,1.0,1467.0,108805.0,114453.0,26.0,2721.0,0.0,226005.0,0.0,91.58,219.0,0.0,656.0,225130.0,0.0
43,VELLORE,103632.0,111267.0,47.0,214946.0,2.0,442.0,90855.0,97882.0,40.0,1796.0,0.0,190573.0,0.0,88.66,46.0,0.0,757.0,189770.0,0.0
44,ANAIKATTU,117577.0,123020.0,43.0,240640.0,1.0,1925.0,102934.0,111093.0,12.0,3046.0,0.0,217085.0,0.0,90.21,767.0,0.0,1103.0,215215.0,1.0
45,KILVAITHINANKUPPAM (SC),107004.0,110009.0,8.0,217021.0,0.0,1717.0,91317.0,96519.0,7.0,2536.0,0.0,190379.0,0.0,87.72,487.0,0.0,972.0,188920.0,0.0
46,GUDIYATTAM (SC),122808.0,129222.0,34.0,252064.0,5.0,476.0,110788.0,116891.0,24.0,1549.0,0.0,229252.0,0.0,90.95,176.0,0.0,799.0,228277.0,0.0
47,VANIYAMBADI,120350.0,122919.0,51.0,243320.0,5.0,780.0,102922.0,108127.0,32.0,1543.0,0.0,212624.0,0.0,87.38,90.0,0.0,624.0,211910.0,0.0
48,AMBUR,104747.0,110110.0,41.0,214898.0,15.0,429.0,94511.0,99804.0,33.0,1437.0,0.0,195785.0,0.0,91.11,201.0,0.0,468.0,195116.0,0.0
49,JOLARPET,118010.0,119435.0,20.0,237465.0,8.0,1338.0,101356.0,109466.0,12.0,2748.0,0.0,213582.0,0.0,89.94,540.0,0.0,695.0,212347.0,0.0
50,TIRUPPATTUR,113338.0,113985.0,29.0,227352.0,3.0,661.0,99729.0,101356.0,20.0,2158.0,0.0,203263.0,0.0,89.4,338.0,0.0,464.0,202461.0,0.0
51,UTHANGARAI (SC),118275.0,117609.0,41.0,235925.0,0.0,474.0,101261.0,101289.0,8.0,3187.0,0.0,205745.0,0.0,87.21,215.0,0.0,881.0,204649.0,1.0
52,BARGUR,119224.0,121235.0,17.0,240476.0,0.0,1158.0,103171.0,107287.0,9.0,3662.0,0.0,214129.0,0.0,89.04,169.0,0.0,631.0,213329.0,0.0
53,KRISHNAGIRI,132866.0,136467.0,61.0,269394.0,0.0,2028.0,111260.0,115393.0,42.0,4328.0,0.0,231023.0,0.0,85.76,842.0,0.0,1136.0,229045.0,2.0
54,VEPPANAHALLI,125068.0,121633.0,38.0,246739.0,0.0,646.0,112032.0,108986.0,20.0,1754.0,0.0,222792.0,0.0,90.29,184.0,0.0,1570.0,221038.0,0.0
55,HOSUR,171306.0,171662.0,72.0,343040.0,0.0,51.0,137844.0,137688.0,29.0,2367.0,0.0,277928.0,0.0,81.02,158.0,0.0,1614.0,276156.0,7.0
56,THALLI,120911.0,117013.0,37.0,237961.0,0.0,37.0,105115.0,99156.0,17.0,1680.0,0.0,205968.0,0.0,86.56,90.0,0.0,1550.0,204328.0,10.0
57,PALACODU,121408.0,119432.0,21.0,240861.0,1.0,539.0,111960.0,110493.0,17.0,3026.0,0.0,225496.0,0.0,93.62,239.0,0.0,1292.0,223965.0,6.0
58,PENNAGARAM,128018.0,120805.0,9.0,248832.0,0.0,218.0,115196.0,110199.0,6.0,3506.0,0.0,228907.0,0.0,91.99,241.0,0.0,674.0,227992.0,0.0
59,DHARMAPURI,130887.0,130008.0,84.0,260979.0,5.0,228.0,116631.0,116510.0,64.0,5537.0,0.0,238742.0,0.0,91.48,163.0,0.0,941.0,237638.0,9.0
60,PAPPIREDDIPATTI,128665.0,128337.0,14.0,257016.0,5.0,376.0,115239.0,116602.0,10.0,5313.0,0.0,237164.0,0.0,92.28,543.0,0.0,677.0,235944.0,0.0
61,HARUR (SC),122608.0,123339.0,24.0,245971.0,3.0,279.0,106883.0,108403.0,20.0,4997.0,0.0,220303.0,0.0,89.56,261.0,0.0,782.0,219260.0,5.0
62,CHENGAM (SC),134094.0,135316.0,13.0,269423.0,5.0,426.0,119078.0,121404.0,8.0,3213.0,0.0,243703.0,0.0,90.45,806.0,0.0,1114.0,241783.0,0.0
63,TIRUVANNAMALAI,121132.0,128846.0,48.0,250026.0,16.0,177.0,105300.0,112475.0,37.0,2267.0,0.0,220079.0,0.0,88.02,13.0,0.0,785.0,219281.0,0.0
64,KILPENNATHUR,119081.0,122113.0,15.0,241209.0,3.0,386.0,106836.0,110497.0,10.0,2712.0,0.0,220055.0,0.0,91.23,265.0,0.0,440.0,219350.0,0.0
65,KALASAPAKKAM,115844.0,117733.0,18.0,233595.0,4.0,748.0,104334.0,107186.0,8.0,2665.0,0.0,214193.0,0.0,91.69,66.0,0.0,423.0,213704.0,0.0
66,POLUR,116131.0,118949.0,11.0,235091.0,3.0,1317.0,101876.0,107090.0,9.0,3272.0,0.0,212247.0,0.0,90.28,504.0,0.0,798.0,210945.0,0.0
67,ARANI,125648.0,130788.0,38.0,256474.0,7.0,1511.0,110706.0,116763.0,26.0,3644.0,0.0,231139.0,0.0,90.12,977.0,0.0,707.0,229455.0,0.0
68,CHEYYAR,118003.0,121996.0,9.0,240008.0,1.0,152.0,108908.0,111701.0,9.0,2315.0,0.0,222933.0,0.0,92.89,363.0,0.0,950.0,221620.0,0.0
69,VANDAVASI (SC),105468.0,108101.0,5.0,213574.0,1.0,100.0,93803.0,95451.0,1.0,2146.0,0.0,191401.0,0.0,89.62,197.0,0.0,988.0,190216.0,0.0
70,GINGEE,120357.0,122606.0,29.0,242992.0,0.0,325.0,105778.0,108710.0,16.0,3137.0,0.0,217641.0,0.0,89.57,989.0,0.0,508.0,216144.0,0.0
71,MAILAM,104130.0,104949.0,19.0,209098.0,0.0,82.0,93290.0,94065.0,10.0,2011.0,0.0,189376.0,0.0,90.57,155.0,0.0,299.0,188922.0,0.0
72,TINDIVANAM (SC),107538.0,111751.0,11.0,219300.0,3.0,44.0,94946.0,99169.0,6.0,2239.0,0.0,196360.0,0.0,89.54,334.0,0.0,714.0,195312.0,1.0
73,VANUR (SC),102776.0,107093.0,16.0,209885.0,0.0,61.0,92682.0,98312.0,9.0,1677.0,0.0,192680.0,0.0,91.8,561.0,0.0,519.0,191600.0,0.0
74,VILUPPURAM,119713.0,126205.0,76.0,245994.0,6.0,95.0,103656.0,109383.0,58.0,2794.0,0.0,215891.0,0.0,87.76,469.0,0.0,573.0,214849.0,0.0
75,VIKRAVANDI,112953.0,116200.0,29.0,229182.0,1.0,187.0,101383.0,105641.0,19.0,2816.0,0.0,209859.0,0.0,91.57,628.0,0.0,401.0,208830.0,0.0
76,TIRUKKOYILUR,122277.0,121092.0,35.0,243404.0,3.0,299.0,107209.0,107856.0,23.0,2674.0,0.0,217762.0,0.0,89.47,444.0,0.0,500.0,216818.0,2.0
77,ULUNDURPETTAI,150496.0,150249.0,44.0,300789.0,0.0,90.0,132309.0,136032.0,27.0,2735.0,0.0,271103.0,0.0,90.13,101.0,0.0,1051.0,269951.0,1.0
78,RISHIVANDIYAM,136706.0,136884.0,51.0,273641.0,0.0,70.0,119281.0,123850.0,19.0,1856.0,0.0,245006.0,0.0,89.54,211.0,0.0,534.0,244261.0,0.0
79,SANKARAPURAM,131559.0,134400.0,44.0,266003.0,1.0,52.0,112116.0,120737.0,22.0,2905.0,0.0,235780.0,0.0,88.64,252.0,0.0,383.0,235145.0,0.0
80,KALLAKURICHI (SC),139007.0,142547.0,68.0,281622.0,0.0,40.0,117866.0,129253.0,41.0,2529.0,0.0,249689.0,0.0,88.66,63.0,0.0,883.0,248743.0,3.0
81,GANGAVALLI (SC),106406.0,111962.0,7.0,218375.0,0.0,58.0,92470.0,101361.0,3.0,3047.0,0.0,196881.0,0.0,90.16,202.0,0.0,731.0,195948.0,3.0
82,ATTUR (SC),110787.0,117410.0,22.0,228219.0,0.0,66.0,98617.0,107127.0,20.0,2798.0,0.0,208562.0,1.0,91.39,266.0,0.0,1031.0,207265.0,3.0
83,YERCAUD (ST),133812.0,139107.0,18.0,272937.0,2.0,108.0,122815.0,128189.0,14.0,2725.0,0.0,253743.0,0.0,92.97,151.0,0.0,1250.0,252342.0,2.0
84,OMALUR,150257.0,144584.0,22.0,294863.0,0.0,270.0,136362.0,131446.0,18.0,3667.0,0.0,271493.0,0.0,92.07,374.0,0.0,1433.0,269686.0,5.0
85,METTUR,129034.0,126820.0,15.0,255869.0,0.0,204.0,114367.0,113712.0,11.0,3573.0,0.0,231663.0,0.0,90.54,558.0,0.0,794.0,230311.0,7.0
86,EDAPPADI,139764.0,136678.0,30.0,276472.0,1.0,85.0,128641.0,125835.0,24.0,3990.0,0.0,258490.0,0.0,93.5,227.0,0.0,1341.0,256922.0,4.0
87,SANKARI,131472.0,129088.0,30.0,260590.0,0.0,65.0,121453.0,119620.0,24.0,2926.0,0.0,244023.0,0.0,93.64,244.0,0.0,711.0,243068.0,3.0
88,SALEM (WEST),128491.0,129485.0,64.0,258040.0,8.0,90.0,115674.0,116512.0,46.0,2557.0,0.0,234789.0,0.0,90.99,382.0,0.0,1052.0,233355.0,0.0
89,SALEM (NORTH),116011.0,122624.0,50.0,238685.0,20.0,48.0,101851.0,106711.0,43.0,2272.0,0.0,210877.0,0.0,88.35,165.0,0.0,1205.0,209507.0,0.0
90,SALEM (SOUTH),111277.0,115554.0,49.0,226880.0,6.0,29.0,101139.0,105317.0,36.0,1625.0,0.0,208117.0,0.0,91.73,215.0,0.0,745.0,207157.0,3.0
91,VEERAPANDI,125773.0,124714.0,17.0,250504.0,7.0,55.0,117054.0,116770.0,15.0,2302.0,0.0,236141.0,0.0,94.27,266.0,0.0,594.0,235281.0,2.0
92,RASIPURAM (SC),108636.0,113655.0,13.0,222304.0,2.0,52.0,97733.0,103582.0,11.0,3576.0,0.0,204902.0,0.0,92.17,222.0,0.0,863.0,203817.0,0.0
93,SENTHAMANGALAM (ST),112168.0,117288.0,26.0,229482.0,4.0,84.0,99693.0,107074.0,15.0,3034.0,0.0,209816.0,0.0,91.43,129.0,0.0,1211.0,208476.0,1.0
94,NAMAKKAL,114433.0,123443.0,39.0,237915.0,0.0,79.0,98123.0,110427.0,33.0,3812.0,0.0,212395.0,0.0,89.27,112.0,0.0,760.0,211523.0,0.0
95,PARAMATHI-VELUR,98548.0,106657.0,10.0,205215.0,0.0,68.0,86672.0,98366.0,9.0,3972.0,0.0,189019.0,0.0,92.11,174.0,0.0,449.0,188396.0,0.0
96,TIRUCHENGODU,101443.0,107608.0,48.0,209099.0,4.0,27.0,90246.0,97998.0,30.0,2943.0,0.0,191217.0,0.0,91.45,95.0,0.0,520.0,190602.0,0.0
97,KUMARAPALAYAM,106211.0,113789.0,72.0,220072.0,2.0,24.0,98115.0,105603.0,60.0,1581.0,0.0,205359.0,0.0,93.31,35.0,0.0,665.0,204659.0,0.0
98,ERODE (EAST),85826.0,93728.0,38.0,179592.0,9.0,26.0,77358.0,83854.0,28.0,1333.0,0.0,162573.0,0.0,90.52,120.0,0.0,879.0,161574.0,0.0
99,ERODE (WEST),120471.0,129703.0,43.0,250217.0,4.0,40.0,105949.0,114135.0,33.0,2320.0,0.0,222437.0,0.0,88.9,255.0,782.0,1257.0,220143.0,3.0
100,MODAKKURICHI,99272.0,108413.0,12.0,207697.0,8.0,33.0,90155.0,97442.0,10.0,3298.0,0.0,190905.0,0.0,91.92,146.0,0.0,925.0,189834.0,2.0
101,DHARAPURAM (SC),106903.0,115523.0,8.0,222434.0,7.0,28.0,95384.0,102207.0,2.0,2508.0,0.0,200101.0,0.0,89.96,157.0,0.0,1058.0,198886.0,1.0
102,KANGAYAM,105102.0,114471.0,13.0,219586.0,2.0,33.0,96969.0,104090.0,8.0,2715.0,0.0,203782.0,0.0,92.8,248.0,0.0,706.0,202828.0,2.0
103,PERUNDURAI,102869.0,111576.0,6.0,214451.0,5.0,20.0,95940.0,102332.0,4.0,2803.0,0.0,201079.0,0.0,93.76,393.0,0.0,812.0,199874.0,3.0
104,BHAVANI,109054.0,114147.0,20.0,223221.0,1.0,49.0,100365.0,104755.0,13.0,3331.0,0.0,208464.0,0.0,93.39,141.0,0.0,1409.0,206914.0,2.0
105,ANTHIYUR,101150.0,106236.0,27.0,207413.0,2.0,58.0,89783.0,93149.0,16.0,3022.0,0.0,185970.0,0.0,89.66,195.0,0.0,754.0,185021.0,3.0
106,GOBICHETTIPALAYAM,114089.0,125096.0,13.0,239198.0,2.0,19.0,104400.0,112497.0,12.0,3079.0,0.0,219988.0,0.0,91.97,261.0,0.0,907.0,218820.0,0.0
107,BHAVANISAGAR (SC),114711.0,122895.0,23.0,237629.0,7.0,16.0,103251.0,109064.0,18.0,2505.0,0.0,214838.0,0.0,90.41,243.0,0.0,1804.0,212791.0,4.0
108,UDHAGAMANDALAM,89870.0,99087.0,11.0,188968.0,1.0,142.0,70796.0,75725.0,8.0,2503.0,0.0,149032.0,0.0,78.87,328.0,0.0,1525.0,147179.0,0.0
109,GUDALUR (SC),89970.0,95483.0,7.0,185460.0,14.0,62.0,71779.0,78036.0,5.0,1592.0,0.0,151412.0,0.0,81.64,171.0,0.0,871.0,150370.0,0.0
110,COONOOR,84146.0,93824.0,8.0,177978.0,4.0,196.0,66845.0,72497.0,7.0,2370.0,0.0,141719.0,0.0,79.63,325.0,0.0,720.0,140674.0,4.0
111,METTUPPALAYAM,134272.0,147928.0,35.0,282235.0,30.0,56.0,115510.0,126935.0,15.0,2075.0,0.0,244535.0,0.0,86.64,216.0,0.0,839.0,243480.0,12.0
112,AVANASHI (SC),121271.0,132093.0,8.0,253372.0,5.0,11.0,110866.0,118593.0,4.0,2485.0,0.0,231948.0,0.0,91.54,348.0,0.0,1563.0,230037.0,0.0
113,TIRUPPUR (NORTH),155095.0,160643.0,125.0,315863.0,8.0,26.0,129098.0,132934.0,71.0,1473.0,0.0,263576.0,0.0,83.45,119.0,0.0,1078.0,262379.0,9.0
114,TIRUPPUR (SOUTH),96204.0,100876.0,24.0,197104.0,1.0,13.0,87974.0,90722.0,11.0,1222.0,0.0,179929.0,1.0,91.29,115.0,0.0,644.0,179170.0,10.0
115,PALLADAM,159580.0,170265.0,30.0,329875.0,3.0,26.0,146214.0,152600.0,9.0,2500.0,0.0,301323.0,0.0,91.34,309.0,0.0,1417.0,299597.0,17.0
116,SULUR,147942.0,159656.0,101.0,307699.0,5.0,83.0,130715.0,140783.0,84.0,2153.0,0.0,273735.0,0.0,88.96,191.0,0.0,1353.0,272191.0,0.0
117,KAVUNDAMPALAYAM,205276.0,216849.0,115.0,422240.0,39.0,102.0,174232.0,186725.0,70.0,3215.0,0.0,364242.0,0.0,86.26,251.0,0.0,2116.0,361875.0,0.0
118,COIMBATORE (NORTH),145895.0,151070.0,29.0,296994.0,74.0,55.0,109023.0,115245.0,10.0,1989.0,0.0,226267.0,3.0,76.19,158.0,0.0,1020.0,225089.0,5.0
119,THONDAMUTHUR,141685.0,151588.0,106.0,293379.0,15.0,55.0,123695.0,132967.0,61.0,2100.0,0.0,258823.0,0.0,88.22,274.0,0.0,1000.0,257549.0,8.0
120,COIMBATORE (SOUTH),91334.0,97546.0,32.0,188912.0,19.0,34.0,74754.0,80355.0,18.0,1582.0,0.0,156709.0,0.0,82.95,210.0,0.0,759.0,155740.0,1.0
121,SINGANALLUR,130577.0,139396.0,24.0,269997.0,68.0,56.0,105707.0,113164.0,10.0,2257.0,0.0,221138.0,3.0,81.9,105.0,0.0,1346.0,219687.0,5.0
122,KINATHUKADAVU,147104.0,158779.0,36.0,305919.0,32.0,41.0,127850.0,138540.0,16.0,2026.0,0.0,268432.0,0.0,87.75,515.0,0.0,1717.0,266200.0,5.0
123,POLLACHI,97029.0,106944.0,35.0,204008.0,9.0,37.0,86642.0,93044.0,16.0,1658.0,0.0,181360.0,3.0,88.9,164.0,0.0,849.0,180347.0,0.0
124,VALPARAI (SC),82150.0,91488.0,21.0,173659.0,0.0,51.0,71045.0,78196.0,19.0,1269.0,0.0,150529.0,0.0,86.68,98.0,0.0,675.0,149756.0,0.0
125,UDUMALAIPETTAI,110206.0,120776.0,27.0,231009.0,2.0,33.0,96904.0,104889.0,11.0,2133.0,0.0,203937.0,0.0,88.28,362.0,0.0,1149.0,202426.0,0.0
126,MADATHUKULAM,103272.0,111549.0,16.0,214837.0,13.0,28.0,89715.0,96785.0,3.0,1872.0,0.0,188375.0,0.0,87.68,126.0,0.0,911.0,187338.0,3.0
127,PALANI,116943.0,122888.0,50.0,239881.0,1.0,86.0,101441.0,105311.0,32.0,1923.0,0.0,208707.0,0.0,87.0,88.0,0.0,750.0,207869.0,0.0
128,ODDANCHATRAM,105658.0,114603.0,2.0,220263.0,0.0,25.0,95647.0,104242.0,1.0,1815.0,0.0,201705.0,0.0,91.57,81.0,0.0,1491.0,200133.0,1.0
129,ATHOOR,126424.0,135888.0,17.0,262329.0,4.0,486.0,111882.0,122225.0,7.0,3274.0,0.0,237388.0,0.0,90.49,205.0,0.0,812.0,236371.0,0.0
130,NILAKKOTTAI (SC),108759.0,112792.0,14.0,221565.0,2.0,471.0,95252.0,100383.0,1.0,2169.0,0.0,197805.0,0.0,89.28,212.0,0.0,642.0,196951.0,0.0
131,NATHAM,128463.0,132861.0,69.0,261393.0,0.0,241.0,115125.0,122462.0,36.0,1694.0,0.0,239317.0,0.0,91.55,177.0,0.0,596.0,238544.0,2.0
132,DINDIGUL,116968.0,125138.0,20.0,242126.0,6.0,200.0,100907.0,107960.0,8.0,3243.0,0.0,212118.0,0.0,87.61,94.0,0.0,833.0,211191.0,0.0
133,VEDASANDUR,119371.0,124624.0,3.0,243998.0,6.0,224.0,108744.0,115889.0,1.0,2049.0,0.0,226683.0,0.0,92.9,129.0,0.0,474.0,226080.0,0.0
134,ARAVAKURICHI,93193.0,102343.0,2.0,195538.0,6.0,21.0,84690.0,94726.0,2.0,1747.0,0.0,181165.0,0.0,92.65,87.0,0.0,637.0,180441.0,0.0
135,KARUR,108303.0,121724.0,41.0,230068.0,8.0,73.0,100263.0,114546.0,40.0,2427.0,0.0,217276.0,0.0,94.44,447.0,0.0,539.0,216290.0,0.0
136,KRISHNARAYAPURAM (SC),98730.0,104329.0,31.0,203090.0,13.0,96.0,90581.0,97082.0,30.0,1941.0,0.0,189634.0,0.0,93.37,277.0,0.0,525.0,188832.0,0.0
137,KULITHALAI,109083.0,114286.0,7.0,223376.0,7.0,192.0,100575.0,106521.0,3.0,2186.0,0.0,209285.0,0.0,93.69,194.0,0.0,612.0,208479.0,1.0
138,MANAPPARAI,132297.0,135860.0,8.0,268165.0,0.0,166.0,116665.0,121332.0,5.0,3443.0,0.0,241445.0,0.0,90.04,229.0,0.0,949.0,240267.0,0.0
139,SRIRANGAM,139304.0,147863.0,47.0,287214.0,25.0,187.0,121843.0,130452.0,32.0,3001.0,1.0,255329.0,0.0,88.9,343.0,1.0,929.0,254056.0,1.0
140,TIRUCHIRAPPALLI (WEST),114480.0,124465.0,35.0,238980.0,1.0,60.0,91994.0,102073.0,22.0,2331.0,0.0,196420.0,0.0,82.19,73.0,0.0,1098.0,195249.0,0.0
141,TIRUCHIRAPPALLI (EAST),106303.0,113883.0,54.0,220240.0,0.0,49.0,86806.0,93209.0,36.0,2679.0,0.0,182730.0,0.0,82.97,237.0,0.0,514.0,181979.0,0.0
