District No.,District Name,AC No.,Name of Assembly Constituency,Male,Female,Third Gender,Total Electors,Total_Candidates,AC_Name_Match
13,Coimbatore,118,Coimbatore (North),143383.0,148122.0,28.0,291533.0,,COIMBATORE (NORTH)
13,Coimbatore,119,Thondamuthur,138968.0,148371.0,103.0,287442.0,,THONDAMUTHUR
13,Coimbatore,120,Coimbatore (South),90214.0,96263.0,32.0,186509.0,,COIMBATORE (SOUTH)
13,Coimbatore,121,Singanallur,128758.0,137277.0,23.0,266058.0,,SINGANALLUR
13,Coimbatore,122,Kinathukadavu,144562.0,155888.0,36.0,300486.0,,KINATHUKADAVU
13,Coimbatore,123,Pollachi,96061.0,105919.0,35.0,202015.0,,POLLACHI
13,Coimbatore,124,Valparai,81504.0,90759.0,21.0,172284.0,,VALPARAI
14,Dindigul,127,Palani,115728.0,121582.0,49.0,237359.0,,PALANI
14,Dindigul,128,Oddanchatram,104519.0,113177.0,2.0,217698.0,,ODDANCHATRAM
14,Dindigul,129,Athoor,125056.0,134773.0,17.0,259846.0,,ATHOOR
14,Dindigul,130,Nilakkottai,107389.0,111673.0,15.0,219077.0,,NILAKKOTTAI
14,Dindigul,131,Natham,127116.0,131421.0,66.0,258603.0,,NATHAM
14,Dindigul,132,Dindigul,114893.0,122765.0,21.0,237679.0,,DINDIGUL
14,Dindigul,133,Vedasandur,118236.0,123573.0,4.0,241813.0,,VEDASANDUR
15,Karur,134,Aravakurichi,92738.0,101763.0,4.0,194505.0,,ARAVAKURICHI
15,Karur,135,Karur,106684.0,119859.0,41.0,226584.0,,KARUR
15,Karur,136,Krishnarayapuram,98262.0,103794.0,31.0,202087.0,,KRISHNARAYAPURAM
15,Karur,137,Kulithalai,108343.0,113638.0,7.0,221988.0,,KULITHALAI
16,Tiruchirappalli,138,Manapparai,131212.0,134798.0,9.0,266019.0,,MANAPPARAI
16,Tiruchirappalli,139,Srirangam,137694.0,146120.0,48.0,283862.0,,SRIRANGAM
16,Tiruchirappalli,140,Tiruchirappalli (West),113050.0,122817.0,36.0,235903.0,,TIRUCHIRAPPALLI (WEST)
16,Tiruchirappalli,141,Tiruchirappalli (East),104883.0,112460.0,54.0,217397.0,,TIRUCHIRAPPALLI (EAST)
16,Tiruchirappalli,142,Thiruverumbur,124328.0,131860.0,51.0,256239.0,,THIRUVERUMBUR
16,Tiruchirappalli,143,Lalgudi,102156.0,108861.0,26.0,211043.0,,LALGUDI
16,Tiruchirappalli,144,Manachanallur,113256.0,120924.0,37.0,234217.0,,MANACHANALLUR
16,Tiruchirappalli,145,Musiri,103631.0,108965.0,16.0,212612.0,,MUSIRI
16,Tiruchirappalli,146,Thuraiyur,101144.0,107837.0,30.0,209011.0,,THURAIYUR
17,Perambalur,147,Perambalur,139914.0,148507.0,28.0,288449.0,,PERAMBALUR
17,Perambalur,148,Kunnam,131720.0,134959.0,3.0,266682.0,,KUNNAM
18,Cuddalore,151,Tittakudi,101774.0,104992.0,4.0,206770.0,,TITTAKUDI
18,Cuddalore,152,Vriddhachalam,118319.0,119495.0,22.0,237836.0,,VRIDDHACHALAM
18,Cuddalore,153,Neyveli,94505.0,94503.0,16.0,189024.0,,NEYVELI
18,Cuddalore,154,Panruti,116476.0,123504.0,68.0,240048.0,,PANRUTI
18,Cuddalore,155,Cuddalore,105300.0,115773.0,79.0,221152.0,,CUDDALORE
18,Cuddalore,156,Kurinjipadi,116013.0,120238.0,46.0,236297.0,,KURINJIPADI
18,Cuddalore,157,Bhuvanagiri,114785.0,116164.0,19.0,230968.0,,BHUVANAGIRI
18,Cuddalore,158,Chidambaram,112664.0,116443.0,29.0,229136.0,,CHIDAMBARAM
18,Cuddalore,159,Kattumannarkoil,111691.0,112864.0,10.0,224565.0,,KATTUMANNARKOIL
19,Nagapattinam,163,Nagapattinam,84493.0,88464.0,22.0,172979.0,,NAGAPATTINAM
19,Nagapattinam,164,Kilvelur,83392.0,85535.0,7.0,168934.0,,KILVELUR
19,Nagapattinam,165,Vedaranyam,91735.0,94299.0,0.0,186034.0,,VEDARANYAM
20,Thiruvarur,166,Thiruthuraipoondi,111001.0,114348.0,14.0,225363.0,,THIRUTHURAIPOONDI
20,Thiruvarur,167,Mannargudi,112530.0,119401.0,4.0,231935.0,,MANNARGUDI
20,Thiruvarur,168,Thiruvarur,126054.0,131818.0,20.0,257892.0,,THIRUVARUR
20,Thiruvarur,169,Nannilam,131094.0,133352.0,16.0,264462.0,,NANNILAM
21,Thanjavur,170,Thiruvidaimarudur,125132.0,129313.0,8.0,254453.0,,THIRUVIDAIMARUDUR
21,Thanjavur,171,Kumbakonam,122383.0,129469.0,16.0,251868.0,,KUMBAKONAM
21,Thanjavur,172,Papanasam,123838.0,130791.0,23.0,254652.0,,PAPANASAM
21,Thanjavur,173,Thiruvaiyaru,125357.0,131000.0,20.0,256377.0,,THIRUVAIYARU
21,Thanjavur,174,Thanjavur,118648.0,130369.0,47.0,249064.0,,THANJAVUR
21,Thanjavur,175,Orathanadu,112298.0,118947.0,6.0,231251.0,,ORATHANADU
21,Thanjavur,176,Pattukkottai,115354.0,125580.0,20.0,240954.0,,PATTUKKOTTAI
21,Thanjavur,177,Peravurani,104268.0,108543.0,15.0,212826.0,,PERAVURANI
22,Pudukkottai,178,Gandarvakkottai,98028.0,96695.0,9.0,194732.0,,GANDHARVAKOTTAI
22,Pudukkottai,179,Viralimalai,110011.0,113040.0,33.0,223084.0,,VIRALIMALAI
22,Pudukkottai,180,Pudukkottai,109962.0,113943.0,23.0,223928.0,,PUDUKKOTTAI
22,Pudukkottai,181,Thirumayam,107006.0,112270.0,3.0,219279.0,,THIRUMAYAM
22,Pudukkottai,182,Alangudi,103987.0,106309.0,0.0,210296.0,,ALANGUDI
22,Pudukkottai,183,Aranthangi,112282.0,115305.0,1.0,227588.0,,ARANTHANGI
23,Sivaganga,184,Karaikudi,148087.0,155256.0,28.0,303371.0,,KARAIKUDI
23,Sivaganga,185,Tiruppattur,134270.0,139183.0,3.0,273456.0,,TIRUPPATTUR
23,Sivaganga,186,Sivaganga,135113.0,141039.0,4.0,276156.0,,SIVAGANGA
23,Sivaganga,187,Manamadurai,126565.0,131048.0,3.0,257616.0,,MANAMADURAI
24,Madurai,188,Melur,113091.0,114687.0,11.0,227789.0,,MELUR
24,Madurai,189,Madurai East,161361.0,169579.0,53.0,330993.0,,MADURAI EAST
24,Madurai,190,Sholavandan,104246.0,108243.0,13.0,212502.0,,SHOLAVANDAN
24,Madurai,191,Madurai North,106263.0,112410.0,46.0,218719.0,,MADURAI NORTH
24,Madurai,192,Madurai South,87179.0,90378.0,48.0,177605.0,,MADURAI SOUTH
24,Madurai,193,Madurai Central,95632.0,101198.0,26.0,196856.0,,MADURAI CENTRAL
24,Madurai,194,Madurai West,133116.0,138214.0,11.0,271341.0,,MADURAI WEST
24,Madurai,195,Thiruparankundram,150598.0,157157.0,30.0,307785.0,,THIRUPARANKUNDRAM
24,Madurai,196,Thirumangalam,125756.0,133461.0,8.0,259225.0,,THIRUMANGALAM
24,Madurai,197,Usilampatti,131411.0,132724.0,6.0,264141.0,,USILAMPATTI
25,Theni,198,Andipatti,124501.0,129928.0,30.0,254459.0,,ANDIPATTI
25,Theni,199,Periyakulam,128368.0,135070.0,109.0,263547.0,,PERIYAKULAM
25,Theni,200,Bodinayakanur,126858.0,134760.0,15.0,261633.0,,BODINAYAKANUR
25,Theni,201,Cumbum,122496.0,131129.0,21.0,253646.0,,CUMBUM
26,Virudhunagar,202,Rajapalayam,103236.0,108951.0,33.0,212220.0,,RAJAPALAYAM
26,Virudhunagar,203,Srivilliputhur,108109.0,114218.0,40.0,222367.0,,SRIVILLIPUTHUR
26,Virudhunagar,204,Sattur,110693.0,117207.0,63.0,227963.0,,SATTUR
26,Virudhunagar,205,Sivakasi,109420.0,116013.0,28.0,225461.0,,SIVAKASI
26,Virudhunagar,206,Virudhunagar,96436.0,102141.0,39.0,198616.0,,VIRUDHUNAGAR
26,Virudhunagar,207,Aruppukkottai,100000.0,106468.0,29.0,206497.0,,ARUPPUKKOTTAI
26,Virudhunagar,208,Tiruchuli,100645.0,103634.0,14.0,204293.0,,TIRUCHULI
27,Ramanathapuram,209,Paramakudi,115701.0,117714.0,18.0,233433.0,,PARAMAKUDI
27,Ramanathapuram,210,Tiruvadanai,140103.0,141997.0,21.0,282121.0,,TIRUVADANAI
27,Ramanathapuram,211,Ramanathapuram,152412.0,157740.0,13.0,310165.0,,RAMANATHAPURAM
27,Ramanathapuram,212,Mudhukulathur,148105.0,149202.0,3.0,297310.0,,MUDHUKULATHUR
28,Thoothukudi,213,Vilathikulam,99913.0,103804.0,15.0,203732.0,,VILATHIKULAM
28,Thoothukudi,214,Thoothukudi,120614.0,127623.0,63.0,248300.0,,THOOTHUKKUDI
28,Thoothukudi,215,Tiruchendur,112387.0,118305.0,30.0,230702.0,,TIRUCHENDUR
28,Thoothukudi,216,Srivaikuntam,105099.0,107782.0,4.0,212885.0,,SRIVAIKUNTAM
28,Thoothukudi,217,Ottapidaram,117432.0,123502.0,54.0,240988.0,,OTTAPIDARAM
28,Thoothukudi,218,Kovilpatti,116317.0,123673.0,27.0,240017.0,,KOVILPATTI
29,Tirunelveli,224,Tirunelveli,132511.0,140929.0,80.0,273520.0,,TIRUNELVELI
29,Tirunelveli,225,Ambasamudram,109384.0,116318.0,12.0,225714.0,,AMBASAMUDRAM
29,Tirunelveli,226,Palayamkottai,123972.0,131141.0,17.0,255130.0,,PALAYAMKOTTAI
29,Tirunelveli,227,Nanguneri,125276.0,129130.0,14.0,254420.0,,NANGUNERI
29,Tirunelveli,228,Radhapuram,120458.0,124000.0,22.0,244480.0,,RADHAPURAM
30,Kanniyakumari,229,Kanniyakumari,141230.0,145643.0,95.0,286968.0,,KANNIYAKUMARI
30,Kanniyakumari,230,Nagercoil,125873.0,131139.0,10.0,257022.0,,NAGERCOIL
30,Kanniyakumari,231,Colachal,131885.0,131562.0,1.0,263448.0,,COLACHAL
30,Kanniyakumari,232,Padmanabhapuram,116895.0,117142.0,19.0,234056.0,,PADMANABHAPURAM
30,Kanniyakumari,233,Vilavancode,111990.0,113226.0,3.0,225219.0,,VILAVANCODE
30,Kanniyakumari,234,Killiyoor,123143.0,120678.0,16.0,243837.0,,KILLIYOOR
31,Ariyalur,149,Ariyalur,129521.0,131624.0,16.0,261161.0,,ARIYALUR
31,Ariyalur,150,Jayankondam,129713.0,132068.0,12.0,261793.0,,JAYANKONDAM
32,Tiruppur,101,Dharapuram,106142.0,114593.0,8.0,220743.0,,DHARAPURAM
32,Tiruppur,102,Kangayam,103784.0,112849.0,13.0,216646.0,,KANGAYAM
32,Tiruppur,112,Avanashi,110841.0,130498.0,9.0,250348.0,,AVANASHI
32,Tiruppur,113,Tiruppur (North),152351.0,157662.0,125.0,310138.0,,TIRUPPUR (NORTH)
32,Tiruppur,114,Tiruppur (South),94579.0,99011.0,24.0,193614.0,,TIRUPPUR (SOUTH)
32,Tiruppur,115,Palladam,156069.0,166429.0,32.0,322530.0,,PALLADAM
32,Tiruppur,125,Udumalaipettai,109103.0,119396.0,25.0,228524.0,,UDUMALAIPETTAI
32,Tiruppur,126,Madathukulam,102309.0,110417.0,16.0,212742.0,,MADATHUKULAM
33,Kallakurichi,77,Ulundurpettai,148929.0,148499.0,44.0,297472.0,,ULUNDURPETTAI
33,Kallakurichi,78,Rishivandiyam,135202.0,135198.0,51.0,270541.0,,RISHIVANDIYAM
33,Kallakurichi,79,Sankarapuram,130231.0,132859.0,46.0,263136.0,,SANKARAPURAM
33,Kallakurichi,80,Kallakurichi,137049.0,141044.0,69.0,278162.0,,KALLAKURICHI
34,Tenkasi,219,Sankarankovil,114876.0,121639.0,17.0,236532.0,,SANKARANKOVIL
34,Tenkasi,220,Vasudevanallur,110960.0,116396.0,13.0,227369.0,,VASUDEVANALLUR
34,Tenkasi,221,Kadayanallur,132228.0,135272.0,17.0,267517.0,,KADAYANALLUR
34,Tenkasi,222,Tenkasi,136260.0,143223.0,102.0,279585.0,,TENKASI
34,Tenkasi,223,Alangulam,123739.0,129650.0,19.0,253408.0,,ALANGULAM
35,Chengalpattu,27,Shozhinganallur,262621.0,274254.0,116.0,536991.0,,SHOZHINGANALLUR
35,Chengalpattu,30,Pallavaram,161197.0,168996.0,24.0,330217.0,,PALLAVARAM
35,Chengalpattu,31,Tambaram,157580.0,166046.0,51.0,323677.0,,TAMBARAM
35,Chengalpattu,32,Chengalpattu,178076.0,188267.0,57.0,366400.0,,CHENGALPATTU
35,Chengalpattu,33,Thiruporur,140991.0,148359.0,51.0,289401.0,,THIRUPORUR
35,Chengalpattu,34,Cheyyur,100103.0,101934.0,18.0,202055.0,,CHEYYUR
35,Chengalpattu,35,Madurantakam,103943.0,107288.0,64.0,211295.0,,MADURANTAKAM
36,Tirupathur,47,Vaniyambadi,118457.0,121713.0,50.0,240220.0,,VANIYAMBADI
36,Tirupathur,48,Ambur,103478.0,109113.0,40.0,212631.0,,AMBUR
36,Tirupathur,49,Jolarpet,115656.0,118154.0,20.0,233830.0,,JOLARPET
36,Tirupathur,50,Tirupattur,111873.0,113016.0,29.0,224918.0,,TIRUPPATTUR
37,Ranipet,38,Arakkonam,96982.0,102157.0,26.0,199165.0,,ARAKKONAM
37,Ranipet,39,Sholinghur,126034.0,130072.0,12.0,256118.0,,SHOLINGUR
37,Ranipet,41,Ranipet,119080.0,126719.0,44.0,245853.0,,RANIPET
37,Ranipet,42,Arcot,119107.0,124429.0,29.0,243565.0,,ARCOT
38,Mayiladuthurai,160,Sirkazhi,118809.0,120647.0,13.0,239469.0,,SIRKAZHI
38,Mayiladuthurai,161,Mayiladuthurai,114613.0,117979.0,26.0,232618.0,,MAYILADUTHURAI
38,Mayiladuthurai,162,Poompuhar,127071.0,130050.0,8.0,257129.0,,POOMPUHAR
